City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,pathein,16.7833,94.7333,29.52,73,68,2.4,MM,1723171252
259,kondopoga,62.2057,34.2614,16.07,76,100,0.38,RU,1723171253
260,serra,-20.1286,-40.3078,23.7,69,0,6.17,BR,1723171254
261,kimbe,-5.5502,150.1429,32.5,55,43,3.28,PG,1723170994
262,burang,30.25,81.1667,11.97,68,98,0.88,CN,1723170663
263,aasiaat,68.7098,-52.8699,3.2,92,83,2.58,GL,1723171258
264,anadyr,64.75,177.4833,9.28,70,75,4.0,RU,1723171260
265,islamkot,24.6997,70.177,28.76,78,99,6.53,PK,1723171261
266,cobija,-11.0267,-68.7692,24.6,70,48,0.58,BO,1723171262
267,kone,-21.0595,164.8658,23.81,58,54,1.25,NC,1723171263
268,talnakh,69.4865,88.3972,15.47,49,10,1.65,RU,1723171264
269,mancio lima,-7.6142,-72.8958,25.02,57,0,0.6,BR,1723171265
270,karatas,36.582,35.3701,27.68,76,0,2.51,TR,1723171266
271,kargil,34.5667,76.1,15.92,46,16,1.28,IN,1723171267
272,olonkinbyen,70.9221,-8.7187,5.49,98,100,3.87,SJ,1723171268
273,cortez,37.3489,-108.5859,23.42,38,0,3.6,US,1723171271
274,choibalsan,48.0667,114.5,24.57,54,100,4.06,MN,1723171272
275,sao tome,0.3365,6.7273,23.61,82,87,3.54,ST,1723171273
276,puerto baquerizo moreno,-0.9,-89.6,19.61,76,91,5.89,EC,1723170715
277,nizhnesortymskiy,62.4397,71.7603,11.49,66,100,5.06,RU,1723171275
278,lecheng,25.1238,113.3254,34.4,54,6,2.24,CN,1723171276
279,road town,18.4167,-64.6167,29.02,79,40,4.12,VG,1723171278
280,pekan,3.4836,103.3996,29.79,70,17,3.04,MY,1723171279
281,new plymouth,-39.0667,174.0833,11.29,100,64,1.01,NZ,1723171280
282,belyy yar,53.6039,91.3903,20.94,78,0,2.0,RU,1723171281
283,ingeniero guillermo n. juarez,-23.9,-61.85,10.64,49,0,3.22,AR,1723171282
284,yamada,39.4667,141.95,28.32,68,58,3.38,JP,1723171283
285,gulf shores,30.246,-87.7008,28.91,75,0,0.0,US,1723171284
286,port blair,11.6667,92.75,28.02,83,40,3.6,IN,1723171017
287,reggane,26.7158,0.1714,35.51,11,0,7.85,DZ,1723171166
288,cua,10.1589,-66.8858,21.79,96,0,1.41,VE,1723171288
289,shingu,33.7333,135.9833,31.9,60,0,3.11,JP,1723171154
290,andergrove,-21.0833,149.1833,19.76,78,19,7.32,AU,1723171290
291,kenora,49.8167,-94.4337,11.54,93,100,4.02,CA,1723171291
292,fernie,49.5,-115.0687,14.58,64,11,2.52,CA,1723171292
293,springfield,37.2153,-93.2982,23.11,84,0,2.24,US,1723170606
294,zuera,41.8677,-0.7898,23.68,60,1,0.61,ES,1723171294
295,salawagan,7.7053,125.115,29.8,70,100,1.2,PH,1723171296
296,lysekil,58.2743,11.4358,16.13,80,100,8.19,SE,1723171297
297,dunedin,-45.8742,170.5036,9.22,67,1,3.98,NZ,1723171298
298,carnarvon,-24.8667,113.6333,22.26,42,0,4.89,AU,1723171019
299,kupang,-10.1667,123.5833,33.32,38,20,11.32,ID,1723170748
300,tsiombe,-25.3,45.4833,17.75,73,0,2.45,MG,1723171301
301,saudarkrokur,65.7461,-19.6394,6.36,95,100,0.83,IS,1723171302
302,la puebla de montalban,39.863,-4.3592,25.66,25,0,1.71,ES,1723171305
303,mucumpiz,8.4167,-71.1333,14.85,94,79,1.29,VE,1723171306
304,la passe,45.5549,-0.8967,16.99,85,39,2.56,FR,1723171308
305,san andres,12.5847,-81.7006,28.01,83,20,3.09,CO,1723171309
306,hadibu,12.65,54.0333,25.07,80,63,8.17,YE,1723171311
307,robore,-18.3333,-59.75,11.67,90,100,2.9,BO,1723171312
308,bhamo,24.2667,97.2333,24.45,100,100,0.11,MM,1723171313
309,tangalle,6.024,80.7911,29.13,67,62,5.59,LK,1723171315
310,valparaiso,-33.0393,-71.6273,12.8,50,0,1.03,CL,1723171316
311,chakia,26.4167,85.05,29.95,72,76,5.63,IN,1723171317
